3GQMY117,BSR9Y117,CRHY117,DGJ5Y117,GQ2T10Y117,INF11Y117,IPSK8Y117,NQ1T6Y117,OK_Y117,ZUM7Y117,ZUTY117,3GQMY117,BSR9Y117,CRHY117,DGJ5Y117,GQ2T10Y117,INF11Y117,IPSK8Y117,NQ1T6Y117,OK_Y117,ZUM7Y117,ZUTY117,"Rolling mean, w=40","Rolling mean, w=10","Weighted rolling mean, a=0.05",,
26,41,21,17,21,20,27,30,25,15,44,1,10,3,4,0,3,0,3,2,2,9,4.25,11,6.9918464,0.06,
38,50,25,25,25,18,23,26,18,18,50,12,9,4,8,4,2,4,4,7,3,6,5.15,14.6,8.852335616,0.06,
31,53,21,23,33,17,27,29,23,19,51,7,3,4,2,8,1,4,3,5,1,1,5.875,17.5,10.18119548,0.06,
28,54,22,20,42,26,27,37,25,19,60,3,1,1,3,9,9,0,8,2,0,9,6.525,20.1,11.25032375,0.06,
33,58,29,20,67,20,27,61,36,23,64,5,4,7,0,25,6,0,24,11,4,4,7.3,23.2,12.55530433,0.06,
30,57,20,24,120,21,32,77,28,25,69,3,1,9,4,53,1,5,16,8,2,5,8,26,13.60198607,0.06,
34,55,24,31,113,23,33,93,26,27,75,4,2,4,7,7,2,1,16,2,2,6,8.8,29.2,14.8258669,0.06,
34,53,27,31,89,24,28,93,29,31,72,0,2,3,0,24,1,5,0,3,4,3,9.6,31.4,15.97631489,0.06,
28,52,20,30,76,36,27,98,24,28,75,6,1,7,1,13,12,1,5,5,3,3,10.25,30.9,16.69773599,0.06,
32,48,25,37,79,23,31,98,34,30,83,4,4,5,7,3,13,4,0,10,2,8,11,31.4,17.61587183,0.06,
33,48,27,37,89,22,30,102,44,44,78,1,0,2,0,10,1,1,4,10,14,5,11.775,32.1,18.53891952,0.06,
38,41,30,41,95,29,34,101,43,36,76,5,7,3,4,6,7,4,1,1,8,2,12.675,32.1,19.70658435,0.06,
30,49,23,35,85,28,33,103,47,32,73,8,8,7,6,10,1,1,2,4,4,3,13.375,32,20.32418929,0.06,
44,43,35,38,80,30,40,116,54,31,80,14,6,12,3,5,2,7,13,7,1,7,14.425,33.6,21.74473793,0.06,
41,53,20,38,82,34,37,100,59,31,78,3,10,15,0,2,4,3,16,5,0,2,15.4,34.4,22.90005366,0.06,
42,81,35,43,89,27,33,111,54,39,70,1,28,15,5,7,7,4,11,5,8,8,16.4,35.6,24.04605044,0.06,
40,90,29,44,80,34,39,105,59,26,66,2,9,6,1,9,7,6,6,5,13,4,17.35,36.2,25.00328741,0.06,
44,130,32,43,98,26,42,105,56,28,65,4,40,3,1,18,8,3,0,3,2,1,18.4,37.2,26.14309017,0.06,
44,143,19,36,98,30,45,93,63,34,57,0,13,13,7,0,4,3,12,7,6,8,19.45,38.8,27.21450476,0.06,
47,149,24,39,102,29,50,91,61,30,73,3,6,5,3,4,1,5,2,2,4,16,20.575,40.3,28.40163447,0.06,
48,157,23,44,118,32,44,83,60,31,72,1,8,1,5,16,3,6,8,1,1,1,21.725,41.8,29.5775364,0.06,
44,168,23,37,129,31,47,81,56,26,121,4,11,0,7,11,1,3,2,4,5,49,22.775,42.4,30.44288422,0.06,
41,166,36,39,129,35,47,84,59,29,130,3,2,13,2,0,4,0,3,3,3,9,23.75,43.5,31.07631117,0.06,
49,157,25,43,121,39,51,76,61,27,141,8,9,11,4,8,4,4,8,2,2,11,24.925,44,32.1517325,0.06,
62,154,27,39,112,41,48,64,52,31,128,13,3,2,4,9,2,3,12,9,4,13,26.425,46.1,33.94262855,0.06,
55,144,37,36,115,39,56,70,57,35,105,7,10,10,3,3,2,8,6,5,4,23,27.75,47.4,35.20607083,0.06,
48,128,39,38,105,41,53,66,53,37,102,7,16,2,2,10,2,3,4,4,2,3,28.9,48.2,35.97370658,0.06,
52,138,40,37,105,41,70,64,46,33,103,4,10,1,1,0,0,17,2,7,4,1,30.15,49,36.93528419,0.06,
57,142,41,31,102,47,50,54,47,38,114,5,4,1,6,3,6,20,10,1,5,11,31.525,50.3,38.13916714,0.06,
64,142,35,34,109,46,50,61,56,43,101,7,0,6,3,7,1,0,7,9,5,13,33.075,52,39.69081711,0.06,
63,130,37,31,104,41,65,146,47,43,99,1,12,2,3,5,5,15,85,9,0,2,34.6,53.5,41.08936808,0.06,
63,125,36,38,109,44,60,209,42,32,90,0,5,1,7,5,3,5,63,5,11,9,36.125,55.4,42.404006,0.06,
61,140,28,27,114,46,59,374,45,42,101,2,15,8,11,5,2,1,165,3,10,11,37.6,57.4,43.51976564,0.06,
59,129,27,40,109,46,50,545,40,44,109,2,11,1,13,5,0,9,171,5,2,8,39.025,58.4,44.4485797,0.06,
68,116,28,42,98,49,64,1080,41,36,91,9,13,1,2,11,3,14,535,1,8,18,40.675,59,45.86166492,0.06,
62,108,23,32,90,50,65,1378,41,39,99,6,8,5,10,8,1,1,298,0,3,8,42.175,59.7,46.82996502,0.06,
59,106,28,39,82,45,61,1787,48,36,96,3,2,5,7,8,5,4,409,7,3,3,43.6,60.8,47.56016712,0.06,
52,92,32,44,74,36,64,2021,53,33,95,7,14,4,5,8,9,3,234,5,3,1,44.6,60.8,47.82655709,0.06,
60,85,29,52,71,48,66,2345,57,36,86,8,7,3,8,3,12,2,324,4,3,9,45.275,61.1,48.55696367,0.06,
53,84,41,64,73,45,67,2468,55,29,98,7,1,12,12,2,3,1,123,2,7,12,45.925,60,48.82354585,0.06,
48,64,29,66,70,49,60,2732,57,32,89,5,20,12,2,3,4,7,264,2,3,9,46.475,58.5,48.7741331,0.06,
50,65,30,75,61,35,49,2899,65,32,90,2,1,1,9,9,14,11,167,8,0,1,46.775,57.2,48.84768511,0.06,
42,63,30,75,58,45,35,3212,82,31,83,8,2,0,0,3,10,14,313,17,1,7,47.05,55.3,48.436824,0.06,
45,68,33,74,59,46,42,3449,83,35,84,3,5,3,1,1,1,7,237,1,4,1,47.475,53.9,48.23061456,0.06,
49,70,21,65,58,43,41,3913,82,32,81,4,2,12,9,1,3,1,464,1,3,3,47.875,52,48.27677769,0.06,
63,58,25,65,51,54,42,3991,84,39,89,14,12,4,0,7,11,1,78,2,7,8,48.7,52.1,49.16017103,0.06,
37,72,34,86,47,55,36,4331,84,42,99,26,14,9,21,4,1,6,340,0,3,10,48.775,49.9,48.43056077,0.06,
38,64,19,82,43,56,39,4214,84,32,90,1,8,15,4,4,1,3,117,0,10,9,48.875,48.5,47.80472712,0.06,
44,68,22,80,48,68,33,4215,88,33,93,6,4,3,2,5,12,6,1,4,1,3,49.275,46.9,47.57644349,0.06,
50,70,23,99,58,85,31,3955,97,32,97,6,2,1,19,10,17,2,260,9,1,4,49.725,46.6,47.72185688,0.06,
44,68,37,101,58,109,34,3651,97,34,92,6,2,14,2,0,24,3,304,0,2,5,50,46.2,47.49854547,0.06,
49,54,26,115,51,128,24,3348,113,35,96,5,14,11,14,7,19,10,303,16,1,4,50.275,46.1,47.58863274,0.06,
56,62,27,134,58,237,31,2994,101,31,114,7,8,1,19,7,109,7,354,12,4,18,50.925,47.5,48.09331478,0.06,
46,57,32,132,61,406,25,2657,92,38,103,10,5,5,2,3,169,6,337,9,7,11,50.975,47.6,47.96771589,0.06,
45,55,31,138,62,472,24,2391,93,46,101,1,2,1,6,1,66,1,266,1,8,2,51.075,47.2,47.78965294,0.06,
51,71,31,137,58,458,25,2091,91,68,95,6,16,0,1,4,14,1,300,2,22,6,51.3,46,47.98227376,0.06,
51,67,29,149,54,397,23,1859,90,77,96,0,4,2,12,4,61,2,232,1,9,1,51.575,47.4,48.16333734,0.06,
52,78,32,145,50,351,22,1618,103,99,87,1,11,3,4,4,46,1,241,13,22,9,51.775,48.8,48.3935371,0.06,
49,84,36,155,48,360,16,1475,95,165,87,3,6,4,10,2,9,6,143,8,66,0,51.9,49.3,48.42992487,0.06,
49,85,39,150,71,366,19,1328,85,250,95,0,1,3,5,23,6,3,147,10,85,8,51.95,49.2,48.46412938,0.06,
40,94,29,148,100,365,24,1221,81,297,89,9,9,10,2,29,1,5,107,4,47,6,51.75,48.8,47.95628162,0.06,
51,96,28,142,106,314,28,1172,82,432,80,11,2,1,6,6,51,4,49,1,135,9,51.925,49,48.13890472,0.06,
49,96,22,129,115,315,39,1087,80,569,87,2,0,6,13,9,1,11,85,2,137,7,52.125,48.3,48.19057044,0.06,
47,93,32,133,109,344,45,1000,74,648,89,2,3,10,4,6,29,6,87,6,79,2,52.075,48.4,48.11913621,0.06,
53,91,43,173,100,314,41,856,63,803,81,6,2,11,40,9,30,4,144,11,155,8,51.85,49.2,48.41198804,0.06,
59,97,48,232,128,317,59,767,64,865,75,6,6,5,59,28,3,18,89,1,62,6,51.95,50,49.04726875,0.06,
60,96,40,374,156,323,59,718,49,958,73,1,1,8,142,28,6,0,49,15,93,2,52.25,50.9,49.70443263,0.06,
59,106,48,413,190,322,60,694,46,1084,76,1,10,8,39,34,1,1,24,3,126,3,52.425,51.6,50.26216667,0.06,
49,114,54,396,180,314,59,715,45,1117,72,10,8,6,17,10,8,1,21,1,33,4,52.225,51.6,50.18643667,0.06,
51,123,55,350,167,293,47,673,55,1136,86,2,9,1,46,13,21,12,42,10,19,14,51.9,51.8,50.23525047,0.06,
